Lease_ID,Unit_ID,Resident_ID,Lease_Start_Date,Lease_End_Date,Renewal_Offered,Renewal_Accepted,Lease_Status
1,1,1000,2/4/2024,2/3/2025,Y,Y,Renewed
2,2,1001,3/14/2024,3/14/2025,Y,Y,Renewed
3,3,1002,8/27/2024,8/27/2025,Y,Y,Renewed
4,4,1003,3/2/2024,3/2/2025,Y,N,Vacated
5,4,1004,3/14/2025,3/14/2026,N,N,Active
6,5,1005,12/21/2024,12/21/2025,Y,Y,Renewed
7,6,1006,2/26/2024,2/25/2025,Y,Y,Renewed
8,7,1007,3/19/2024,3/19/2025,Y,Y,Renewed
9,8,1008,7/6/2024,7/6/2025,Y,Y,Renewed
10,9,1009,8/26/2024,8/26/2025,Y,Y,Renewed
11,10,1010,10/21/2024,10/21/2025,Y,Y,Renewed
12,11,1011,4/29/2024,4/29/2025,Y,Y,Renewed
13,12,1012,9/30/2024,9/30/2025,Y,Y,Renewed
14,13,1013,1/26/2024,1/25/2025,Y,Y,Renewed
15,14,1014,3/8/2024,3/8/2025,Y,Y,Renewed
16,15,1015,4/21/2024,4/21/2025,Y,Y,Renewed
17,16,1016,8/24/2024,8/24/2025,Y,Y,Renewed
18,17,1017,6/29/2024,6/29/2025,Y,Y,Renewed
19,18,1018,11/11/2024,11/11/2025,N,N,Vacated
20,18,1019,11/20/2025,11/20/2026,N,N,Active
21,19,1020,10/16/2024,10/16/2025,Y,Y,Renewed
22,20,1021,4/22/2024,4/22/2025,Y,Y,Renewed
23,21,1022,12/16/2024,12/16/2025,Y,N,Vacated
24,21,1023,12/27/2025,12/27/2026,N,N,Active
25,22,1024,8/31/2024,8/31/2025,Y,Y,Renewed
26,23,1025,8/11/2024,8/11/2025,Y,Y,Renewed
27,24,1026,1/5/2024,1/4/2025,Y,N,Vacated
28,24,1027,1/22/2025,1/22/2026,N,N,Active
29,25,1028,3/3/2024,3/3/2025,Y,Y,Renewed
30,26,1029,1/27/2024,1/26/2025,Y,Y,Renewed
31,27,1030,4/28/2024,4/28/2025,Y,Y,Renewed
32,28,1031,4/23/2024,4/23/2025,Y,Y,Renewed
33,29,1032,11/16/2024,11/16/2025,Y,Y,Renewed
34,30,1033,12/22/2024,12/22/2025,Y,Y,Renewed
35,31,1034,6/27/2024,6/27/2025,Y,Y,Renewed
36,32,1035,6/21/2024,6/21/2025,Y,Y,Renewed
37,33,1036,11/17/2024,11/17/2025,Y,Y,Renewed
38,34,1037,2/8/2024,2/7/2025,Y,Y,Renewed
39,35,1038,3/10/2024,3/10/2025,Y,N,Vacated
40,35,1039,3/28/2025,3/28/2026,N,N,Active
41,36,1040,5/17/2024,5/17/2025,Y,Y,Renewed
42,37,1041,10/23/2024,10/23/2025,Y,Y,Renewed
43,38,1042,11/24/2024,11/24/2025,Y,Y,Renewed
44,39,1043,10/13/2024,10/13/2025,Y,Y,Renewed
45,40,1044,3/19/2024,3/19/2025,Y,Y,Renewed
46,41,1045,2/12/2024,2/11/2025,Y,Y,Renewed
47,42,1046,4/14/2024,4/14/2025,Y,Y,Renewed
48,43,1047,12/19/2024,12/19/2025,Y,Y,Renewed
49,44,1048,5/25/2024,5/25/2025,Y,Y,Renewed
50,45,1049,11/5/2024,11/5/2025,Y,Y,Renewed
51,46,1050,7/17/2024,7/17/2025,Y,Y,Renewed
52,47,1051,2/12/2024,2/11/2025,Y,Y,Renewed
53,48,1052,10/16/2024,10/16/2025,Y,N,Vacated
54,48,1053,10/24/2025,10/24/2026,N,N,Active
55,49,1054,2/8/2024,2/7/2025,Y,Y,Renewed
56,50,1055,10/16/2024,10/16/2025,Y,Y,Renewed
57,51,1056,1/6/2024,1/5/2025,Y,Y,Renewed
58,52,1057,6/8/2024,6/8/2025,Y,Y,Renewed
59,53,1058,7/3/2024,7/3/2025,Y,Y,Renewed
60,54,1059,2/17/2024,2/16/2025,Y,Y,Renewed
61,55,1060,4/5/2024,4/5/2025,Y,Y,Renewed
62,56,1061,10/26/2024,10/26/2025,Y,Y,Renewed
63,57,1062,11/26/2024,11/26/2025,Y,Y,Renewed
64,58,1063,10/30/2024,10/30/2025,Y,Y,Renewed
65,59,1064,5/21/2024,5/21/2025,Y,Y,Renewed
66,60,1065,4/21/2024,4/21/2025,Y,Y,Renewed
67,61,1066,12/22/2024,12/22/2025,Y,Y,Renewed
68,62,1067,11/24/2024,11/24/2025,Y,Y,Renewed
69,63,1068,2/21/2024,2/20/2025,Y,N,Vacated
70,63,1069,3/2/2025,3/2/2026,N,N,Active
71,64,1070,9/14/2024,9/14/2025,Y,N,Vacated
72,64,1071,10/2/2025,10/2/2026,N,N,Active
73,65,1072,7/1/2024,7/1/2025,Y,Y,Renewed
74,66,1073,2/25/2024,2/24/2025,Y,Y,Renewed
75,67,1074,11/5/2024,11/5/2025,Y,Y,Renewed
76,68,1075,6/3/2024,6/3/2025,Y,Y,Renewed
77,69,1076,3/31/2024,3/31/2025,Y,Y,Renewed
78,70,1077,12/13/2024,12/13/2025,Y,Y,Renewed
79,71,1078,9/8/2024,9/8/2025,Y,Y,Renewed
80,72,1079,6/29/2024,6/29/2025,Y,N,Vacated
81,72,1080,7/4/2025,7/4/2026,N,N,Active
82,73,1081,3/4/2024,3/4/2025,Y,Y,Renewed
83,74,1082,2/19/2024,2/18/2025,Y,N,Vacated
84,74,1083,2/23/2025,2/23/2026,N,N,Active
85,75,1084,4/28/2024,4/28/2025,Y,Y,Renewed
86,76,1085,2/19/2024,2/18/2025,Y,Y,Renewed
87,77,1086,8/3/2024,8/3/2025,Y,Y,Renewed
88,78,1087,2/2/2024,2/1/2025,Y,Y,Renewed
89,79,1088,10/13/2024,10/13/2025,Y,Y,Renewed
90,80,1089,3/19/2024,3/19/2025,Y,Y,Renewed
91,81,1090,4/23/2024,4/23/2025,Y,Y,Renewed
92,82,1091,5/12/2024,5/12/2025,Y,N,Vacated
93,82,1092,5/23/2025,5/23/2026,N,N,Active
94,83,1093,10/15/2024,10/15/2025,Y,N,Vacated
95,83,1094,10/21/2025,10/21/2026,N,N,Active
96,84,1095,3/28/2024,3/28/2025,N,N,Vacated
97,84,1096,4/3/2025,4/3/2026,N,N,Active
98,85,1097,12/15/2024,12/15/2025,Y,Y,Renewed
99,86,1098,9/12/2024,9/12/2025,Y,Y,Renewed
100,87,1099,8/17/2024,8/17/2025,Y,Y,Renewed
101,88,1100,9/21/2024,9/21/2025,Y,Y,Renewed
102,89,1101,10/15/2024,10/15/2025,Y,Y,Renewed
103,90,1102,6/14/2024,6/14/2025,Y,Y,Renewed
104,91,1103,1/8/2024,1/7/2025,Y,Y,Renewed
105,92,1104,5/27/2024,5/27/2025,Y,N,Vacated
106,92,1105,6/13/2025,6/13/2026,N,N,Active
107,93,1106,3/23/2024,3/23/2025,Y,Y,Renewed
108,94,1107,1/12/2024,1/11/2025,Y,Y,Renewed
109,95,1108,4/29/2024,4/29/2025,Y,Y,Renewed
110,96,1109,9/13/2024,9/13/2025,Y,Y,Renewed
111,97,1110,12/21/2024,12/21/2025,Y,Y,Renewed
112,98,1111,3/22/2024,3/22/2025,Y,Y,Renewed
113,99,1112,8/3/2024,8/3/2025,Y,Y,Renewed
114,100,1113,7/28/2024,7/28/2025,Y,Y,Renewed
115,101,1114,10/8/2024,10/8/2025,Y,Y,Renewed
116,102,1115,1/5/2024,1/4/2025,Y,N,Vacated
117,102,1116,1/10/2025,1/10/2026,N,N,Active
118,103,1117,10/20/2024,10/20/2025,Y,N,Vacated
119,103,1118,10/29/2025,10/29/2026,N,N,Active
120,104,1119,12/22/2024,12/22/2025,Y,Y,Renewed
121,105,1120,6/2/2024,6/2/2025,Y,Y,Renewed
122,106,1121,12/8/2024,12/8/2025,Y,N,Vacated
123,106,1122,12/18/2025,12/18/2026,N,N,Active
124,107,1123,6/17/2024,6/17/2025,Y,Y,Renewed
125,108,1124,6/22/2024,6/22/2025,Y,Y,Renewed
126,109,1125,5/2/2024,5/2/2025,Y,Y,Renewed
127,110,1126,7/12/2024,7/12/2025,Y,Y,Renewed
128,111,1127,1/30/2024,1/29/2025,Y,Y,Renewed
