Survey_ID,Resident_ID,Touchpoint,Score,Survey_Date
1,1000,Move-in,3,2024-02-04
2,1001,Move-in,4,2024-03-14
3,1002,Renewal Notice Received,4,2024-08-27
4,1002,Maintenance Request,4,2024-08-27
5,1003,Move-in,4,2024-03-02
6,1004,Maintenance Request,4,2025-03-14
7,1004,Renewal Notice Received,1,2025-03-14
8,1005,Renewal Notice Received,5,2024-12-21
9,1006,Maintenance Request,5,2024-02-26
10,1006,Move-in,5,2024-02-26
11,1007,Maintenance Request,5,2024-03-19
12,1007,Maintenance Request,5,2024-03-19
13,1008,Move-in,5,2024-07-06
14,1009,Maintenance Request,4,2024-08-26
15,1010,Maintenance Request,5,2024-10-21
16,1010,Maintenance Request,5,2024-10-21
17,1011,Renewal Notice Received,4,2024-04-29
18,1012,Renewal Notice Received,4,2024-09-30
19,1013,Renewal Notice Received,5,2024-01-26
20,1014,Maintenance Request,5,2024-03-08
21,1014,Renewal Notice Received,5,2024-03-08
22,1015,Renewal Notice Received,4,2024-04-21
23,1015,Move-in,4,2024-04-21
24,1016,Move-in,3,2024-08-24
25,1017,Maintenance Request,4,2024-06-29
26,1018,Renewal Notice Received,2,2024-11-11
27,1018,Maintenance Request,5,2024-11-11
28,1019,Maintenance Request,4,2025-11-20
29,1020,Maintenance Request,4,2024-10-16
30,1020,Move-in,4,2024-10-16
31,1021,Maintenance Request,3,2024-04-22
32,1021,Maintenance Request,4,2024-04-22
33,1022,Move-in,5,2024-12-16
34,1023,Move-in,4,2025-12-27
35,1023,Renewal Notice Received,2,2025-12-27
36,1024,Renewal Notice Received,5,2024-08-31
37,1025,Maintenance Request,4,2024-08-11
38,1026,Move-in,4,2024-01-05
39,1026,Move-in,5,2024-01-05
40,1027,Renewal Notice Received,4,2025-01-22
41,1028,Move-in,5,2024-03-03
42,1029,Maintenance Request,5,2024-01-27
43,1029,Renewal Notice Received,4,2024-01-27
44,1030,Renewal Notice Received,4,2024-04-28
45,1030,Move-in,5,2024-04-28
46,1031,Renewal Notice Received,5,2024-04-23
47,1032,Maintenance Request,4,2024-11-16
48,1032,Move-in,5,2024-11-16
49,1033,Move-in,5,2024-12-22
50,1033,Maintenance Request,5,2024-12-22
51,1034,Maintenance Request,4,2024-06-27
52,1035,Maintenance Request,3,2024-06-21
53,1036,Maintenance Request,5,2024-11-17
54,1037,Move-in,5,2024-02-08
55,1037,Maintenance Request,4,2024-02-08
56,1038,Maintenance Request,5,2024-03-10
57,1038,Renewal Notice Received,2,2024-03-10
58,1039,Move-in,4,2025-03-28
59,1040,Move-in,4,2024-05-17
60,1041,Maintenance Request,5,2024-10-23
61,1041,Maintenance Request,4,2024-10-23
62,1042,Renewal Notice Received,5,2024-11-24
