Transaction_ID,Lease_ID,Transaction_Date,Category,Amount,Status
1,1,1/1/2025,Rent Charge,1692,Unpaid
2,1,2/1/2025,Rent Charge,1692,Paid
3,1,2/4/2025,Payment,-1692,Paid
4,2,1/1/2025,Rent Charge,1706,Paid
5,2,1/4/2025,Payment,-1706,Paid
6,2,2/1/2025,Rent Charge,1706,Paid
7,2,2/3/2025,Payment,-1706,Paid
8,2,3/1/2025,Rent Charge,1706,Paid
9,2,3/4/2025,Payment,-1706,Paid
10,3,1/1/2025,Rent Charge,1788,Paid
11,3,1/2/2025,Payment,-1788,Paid
12,3,2/1/2025,Rent Charge,1788,Paid
13,3,2/1/2025,Payment,-1788,Paid
14,3,3/1/2025,Rent Charge,1788,Paid
15,3,3/4/2025,Payment,-1788,Paid
16,3,4/1/2025,Rent Charge,1788,Paid
17,3,4/3/2025,Payment,-1788,Paid
18,3,5/1/2025,Rent Charge,1788,Paid
19,3,5/3/2025,Payment,-1788,Paid
20,3,6/1/2025,Rent Charge,1788,Paid
21,3,6/3/2025,Payment,-1788,Paid
22,3,7/1/2025,Rent Charge,1788,Unpaid
23,3,7/6/2025,Late Fee,100,Unpaid
24,3,8/1/2025,Rent Charge,1788,Paid
25,3,8/4/2025,Payment,-1788,Paid
26,4,1/1/2025,Rent Charge,1702,Paid
27,4,1/2/2025,Payment,-1702,Paid
28,4,2/1/2025,Rent Charge,1702,Paid
29,4,2/4/2025,Payment,-1702,Paid
30,4,3/1/2025,Rent Charge,1702,Paid
31,4,3/3/2025,Payment,-1702,Paid
32,5,3/1/2025,Rent Charge,1702,Paid
33,5,3/1/2025,Payment,-1702,Paid
34,5,4/1/2025,Rent Charge,1702,Paid
35,5,4/3/2025,Payment,-1702,Paid
36,5,5/1/2025,Rent Charge,1702,Paid
37,5,5/1/2025,Payment,-1702,Paid
38,5,6/1/2025,Rent Charge,1702,Paid
39,5,6/3/2025,Payment,-1702,Paid
40,5,7/1/2025,Rent Charge,1702,Paid
41,5,7/1/2025,Payment,-1702,Paid
42,5,8/1/2025,Rent Charge,1702,Paid
43,5,8/4/2025,Payment,-1702,Paid
44,5,9/1/2025,Rent Charge,1702,Paid
45,5,9/3/2025,Payment,-1702,Paid
46,5,10/1/2025,Rent Charge,1702,Paid
47,5,10/1/2025,Payment,-1702,Paid
48,5,11/1/2025,Rent Charge,1702,Paid
49,5,11/4/2025,Payment,-1702,Paid
50,5,12/1/2025,Rent Charge,1702,Paid
51,5,12/1/2025,Payment,-1702,Paid
52,6,1/1/2025,Rent Charge,1674,Paid
53,6,1/2/2025,Payment,-1674,Paid
54,6,2/1/2025,Rent Charge,1674,Paid
55,6,2/1/2025,Payment,-1674,Paid
56,6,3/1/2025,Rent Charge,1674,Unpaid
57,6,4/1/2025,Rent Charge,1674,Paid
58,6,4/4/2025,Payment,-1674,Paid
59,6,5/1/2025,Rent Charge,1674,Paid
60,6,5/2/2025,Payment,-1674,Paid
61,6,6/1/2025,Rent Charge,1674,Paid
62,6,6/2/2025,Payment,-1674,Paid
63,6,7/1/2025,Rent Charge,1674,Paid
64,6,7/2/2025,Payment,-1674,Paid
65,6,8/1/2025,Rent Charge,1674,Paid
66,6,8/4/2025,Payment,-1674,Paid
67,6,9/1/2025,Rent Charge,1674,Paid
68,6,9/4/2025,Payment,-1674,Paid
69,6,10/1/2025,Rent Charge,1674,Paid
70,6,10/4/2025,Payment,-1674,Paid
71,6,11/1/2025,Rent Charge,1674,Paid
72,6,11/2/2025,Payment,-1674,Paid
73,6,12/1/2025,Rent Charge,1674,Paid
74,6,12/2/2025,Payment,-1674,Paid
75,7,1/1/2025,Rent Charge,1687,Paid
76,7,1/4/2025,Payment,-1687,Paid
77,7,2/1/2025,Rent Charge,1687,Paid
78,7,2/4/2025,Payment,-1687,Paid
79,8,1/1/2025,Rent Charge,1703,Paid
80,8,1/1/2025,Payment,-1703,Paid
81,8,2/1/2025,Rent Charge,1703,Paid
82,8,2/4/2025,Payment,-1703,Paid
83,8,3/1/2025,Rent Charge,1703,Paid
84,8,3/2/2025,Payment,-1703,Paid
85,9,1/1/2025,Rent Charge,1730,Paid
86,9,1/2/2025,Payment,-1730,Paid
87,9,2/1/2025,Rent Charge,1730,Paid
88,9,2/3/2025,Payment,-1730,Paid
89,9,3/1/2025,Rent Charge,1730,Paid
90,9,3/3/2025,Payment,-1730,Paid
91,9,4/1/2025,Rent Charge,1730,Paid
92,9,4/3/2025,Payment,-1730,Paid
93,9,5/1/2025,Rent Charge,1730,Paid
94,9,5/4/2025,Payment,-1730,Paid
95,9,6/1/2025,Rent Charge,1730,Paid
96,9,6/2/2025,Payment,-1730,Paid
97,9,7/1/2025,Rent Charge,1730,Paid
98,9,7/3/2025,Payment,-1730,Paid
99,10,1/1/2025,Rent Charge,1652,Paid
100,10,1/3/2025,Payment,-1652,Paid
101,10,2/1/2025,Rent Charge,1652,Paid
102,10,2/4/2025,Payment,-1652,Paid
103,10,3/1/2025,Rent Charge,1652,Paid
104,10,3/2/2025,Payment,-1652,Paid
105,10,4/1/2025,Rent Charge,1652,Paid
106,10,4/1/2025,Payment,-1652,Paid
107,10,5/1/2025,Rent Charge,1652,Paid
108,10,5/1/2025,Payment,-1652,Paid
109,10,6/1/2025,Rent Charge,1652,Paid
110,10,6/4/2025,Payment,-1652,Paid
111,10,7/1/2025,Rent Charge,1652,Paid
112,10,7/2/2025,Payment,-1652,Paid
113,10,8/1/2025,Rent Charge,1652,Paid
114,10,8/2/2025,Payment,-1652,Paid
115,11,1/1/2025,Rent Charge,1687,Paid
116,11,1/1/2025,Payment,-1687,Paid
117,11,2/1/2025,Rent Charge,1687,Paid
118,11,2/1/2025,Payment,-1687,Paid
119,11,3/1/2025,Rent Charge,1687,Paid
120,11,3/4/2025,Payment,-1687,Paid
121,11,4/1/2025,Rent Charge,1687,Paid
122,11,4/4/2025,Payment,-1687,Paid
123,11,5/1/2025,Rent Charge,1687,Paid
124,11,5/4/2025,Payment,-1687,Paid
125,11,6/1/2025,Rent Charge,1687,Paid
126,11,6/3/2025,Payment,-1687,Paid
127,11,7/1/2025,Rent Charge,1687,Paid
128,11,7/3/2025,Payment,-1687,Paid
129,11,8/1/2025,Rent Charge,1687,Paid
130,11,8/4/2025,Payment,-1687,Paid
131,11,9/1/2025,Rent Charge,1687,Paid
132,11,9/4/2025,Payment,-1687,Paid
133,11,10/1/2025,Rent Charge,1687,Paid
134,11,10/4/2025,Payment,-1687,Paid
135,12,1/1/2025,Rent Charge,1637,Paid
136,12,1/1/2025,Payment,-1637,Paid
137,12,2/1/2025,Rent Charge,1637,Paid
138,12,2/1/2025,Payment,-1637,Paid
139,12,3/1/2025,Rent Charge,1637,Paid
140,12,3/2/2025,Payment,-1637,Paid
141,12,4/1/2025,Rent Charge,1637,Paid
142,12,4/2/2025,Payment,-1637,Paid
143,13,1/1/2025,Rent Charge,1791,Paid
144,13,1/4/2025,Payment,-1791,Paid
145,13,2/1/2025,Rent Charge,1791,Paid
146,13,2/3/2025,Payment,-1791,Paid
147,13,3/1/2025,Rent Charge,1791,Paid
148,13,3/4/2025,Payment,-1791,Paid
149,13,4/1/2025,Rent Charge,1791,Paid
150,13,4/4/2025,Payment,-1791,Paid
151,13,5/1/2025,Rent Charge,1791,Paid
152,13,5/1/2025,Payment,-1791,Paid
153,13,6/1/2025,Rent Charge,1791,Paid
154,13,6/3/2025,Payment,-1791,Paid
155,13,7/1/2025,Rent Charge,1791,Paid
156,13,7/2/2025,Payment,-1791,Paid
157,13,8/1/2025,Rent Charge,1791,Paid
158,13,8/2/2025,Payment,-1791,Paid
159,13,9/1/2025,Rent Charge,1791,Paid
160,13,9/3/2025,Payment,-1791,Paid
161,14,1/1/2025,Rent Charge,1620,Paid
162,14,1/2/2025,Payment,-1620,Paid
163,15,1/1/2025,Rent Charge,1657,Paid
